YearName,Topic,ViewBy,Grouping,Series,Value
2018,"Case rates (cases per 100,000)",Age,All cases,All cases - 1-17 years,35.7
2018,"Case rates (cases per 100,000)",Age,All cases,All cases - 18-44 years,59.4
2018,"Case rates (cases per 100,000)",Age,All cases,All cases - 45-64 years,151.2
2018,"Case rates (cases per 100,000)",Age,All cases,All cases - 65+ years,431.3
2019,"Case rates (cases per 100,000)",Age,All cases,All cases - 1-17 years,34.8
2019,"Case rates (cases per 100,000)",Age,All cases,All cases - 18-44 years,58.3
2019,"Case rates (cases per 100,000)",Age,All cases,All cases - 45-64 years,139.1
2019,"Case rates (cases per 100,000)",Age,All cases,All cases - 65+ years,385.8
2018,"Case rates (cases per 100,000)",Race,All cases,All cases - Non-white,93.2
2018,"Case rates (cases per 100,000)",Race,All cases,All cases - White,148.1
2019,"Case rates (cases per 100,000)",Race,All cases,All cases - Non-white,93
2019,"Case rates (cases per 100,000)",Race,All cases,All cases - White,135.1
2018,"Case rates (cases per 100,000)",Sex,All cases,All cases - Male,111.6
2018,"Case rates (cases per 100,000)",Sex,All cases,All cases - Female,147.9
2019,"Case rates (cases per 100,000)",Sex,All cases,All cases - Male,105.5
2019,"Case rates (cases per 100,000)",Sex,All cases,All cases - Female,136.2
2011,"Case rates (cases per 100,000)",Total,All cases,Total,140.92
2012,"Case rates (cases per 100,000)",Total,All cases,Total,145.78
2013,"Case rates (cases per 100,000)",Total,All cases,Total,141.77
2014,"Case rates (cases per 100,000)",Total,All cases,Total,141.61
2015,"Case rates (cases per 100,000)",Total,All cases,Total,148.55
2016,"Case rates (cases per 100,000)",Total,All cases,Total,142.61
2017,"Case rates (cases per 100,000)",Total,All cases,Total,130.28
2011,"Case rates (cases per 100,000)",Total,Epi Class,Community-associated,48.16
2012,"Case rates (cases per 100,000)",Total,Epi Class,Community-associated,52.88
2013,"Case rates (cases per 100,000)",Total,Epi Class,Community-associated,55.75
2014,"Case rates (cases per 100,000)",Total,Epi Class,Community-associated,57.83
2015,"Case rates (cases per 100,000)",Total,Epi Class,Community-associated,65.81
2016,"Case rates (cases per 100,000)",Total,Epi Class,Community-associated,67.2
2017,"Case rates (cases per 100,000)",Total,Epi Class,Community-associated,63.32
2011,"Case rates (cases per 100,000)",Total,Epi Class,Healthcare-associated,92.76
2012,"Case rates (cases per 100,000)",Total,Epi Class,Healthcare-associated,92.9
2013,"Case rates (cases per 100,000)",Total,Epi Class,Healthcare-associated,86.02
2014,"Case rates (cases per 100,000)",Total,Epi Class,Healthcare-associated,83.78
2015,"Case rates (cases per 100,000)",Total,Epi Class,Healthcare-associated,82.74
2016,"Case rates (cases per 100,000)",Total,Epi Class,Healthcare-associated,75.41
2017,"Case rates (cases per 100,000)",Total,Epi Class,Healthcare-associated,66.96
2018,"Case rates (cases per 100,000)",Total,Epi Class,Community-associated,65.9
2018,"Case rates (cases per 100,000)",Total,Epi Class,Healthcare-associated,64.2
2018,"Case rates (cases per 100,000)",Total,All cases,Total,130.1
2019,"Case rates (cases per 100,000)",Total,Epi Class,Community-associated,63.3
2019,"Case rates (cases per 100,000)",Total,Epi Class,Healthcare-associated,57.9
2019,"Case rates (cases per 100,000)",Total,All cases,Total,121.2
2011,"Case rates (cases per 100,000)",Age,All cases,All cases - 65+ years,699.67
2012,"Case rates (cases per 100,000)",Age,All cases,All cases - 65+ years,664.54
2013,"Case rates (cases per 100,000)",Age,All cases,All cases - 65+ years,600.71
2014,"Case rates (cases per 100,000)",Age,All cases,All cases - 65+ years,562.93
2015,"Case rates (cases per 100,000)",Age,All cases,All cases - 65+ years,559.15
2016,"Case rates (cases per 100,000)",Age,All cases,All cases - 65+ years,498.37
2017,"Case rates (cases per 100,000)",Age,All cases,All cases - 65+ years,452.17
2011,"Case rates (cases per 100,000)",Age,All cases,All cases - 1-17 years,22.66
2012,"Case rates (cases per 100,000)",Age,All cases,All cases - 1-17 years,23.98
2013,"Case rates (cases per 100,000)",Age,All cases,All cases - 1-17 years,26.98
2014,"Case rates (cases per 100,000)",Age,All cases,All cases - 1-17 years,30.57
2015,"Case rates (cases per 100,000)",Age,All cases,All cases - 1-17 years,30.9
2016,"Case rates (cases per 100,000)",Age,All cases,All cases - 1-17 years,34.82
2017,"Case rates (cases per 100,000)",Age,All cases,All cases - 1-17 years,31.8
2011,"Case rates (cases per 100,000)",Age,All cases,All cases - 18-44 years,46.7
2012,"Case rates (cases per 100,000)",Age,All cases,All cases - 18-44 years,54.15
2013,"Case rates (cases per 100,000)",Age,All cases,All cases - 18-44 years,56.6
2014,"Case rates (cases per 100,000)",Age,All cases,All cases - 18-44 years,59.18
2015,"Case rates (cases per 100,000)",Age,All cases,All cases - 18-44 years,67.68
2016,"Case rates (cases per 100,000)",Age,All cases,All cases - 18-44 years,66.48
2017,"Case rates (cases per 100,000)",Age,All cases,All cases - 18-44 years,59.38
2011,"Case rates (cases per 100,000)",Age,All cases,All cases - 45-64 years,144.01
2012,"Case rates (cases per 100,000)",Age,All cases,All cases - 45-64 years,153.2
2013,"Case rates (cases per 100,000)",Age,All cases,All cases - 45-64 years,151.57
2014,"Case rates (cases per 100,000)",Age,All cases,All cases - 45-64 years,156.74
2015,"Case rates (cases per 100,000)",Age,All cases,All cases - 45-64 years,165.76
2016,"Case rates (cases per 100,000)",Age,All cases,All cases - 45-64 years,165.53
2017,"Case rates (cases per 100,000)",Age,All cases,All cases - 45-64 years,149.11
2011,"Case rates (cases per 100,000)",Age,Epi Class,CA - 65+ years,151.52
2012,"Case rates (cases per 100,000)",Age,Epi Class,CA - 65+ years,158.65
2013,"Case rates (cases per 100,000)",Age,Epi Class,CA - 65+ years,161.83
2014,"Case rates (cases per 100,000)",Age,Epi Class,CA - 65+ years,165.98
2015,"Case rates (cases per 100,000)",Age,Epi Class,CA - 65+ years,181.05
2016,"Case rates (cases per 100,000)",Age,Epi Class,CA - 65+ years,176.5
2017,"Case rates (cases per 100,000)",Age,Epi Class,CA - 65+ years,174.69
2011,"Case rates (cases per 100,000)",Age,Epi Class,CA - 1-17 years,16.53
2012,"Case rates (cases per 100,000)",Age,Epi Class,CA - 1-17 years,16.52
2013,"Case rates (cases per 100,000)",Age,Epi Class,CA - 1-17 years,19.4
2014,"Case rates (cases per 100,000)",Age,Epi Class,CA - 1-17 years,22.97
2015,"Case rates (cases per 100,000)",Age,Epi Class,CA - 1-17 years,23.45
2016,"Case rates (cases per 100,000)",Age,Epi Class,CA - 1-17 years,24.83
2017,"Case rates (cases per 100,000)",Age,Epi Class,CA - 1-17 years,23.68
2011,"Case rates (cases per 100,000)",Age,Epi Class,CA - 18-44 years,28.63
2012,"Case rates (cases per 100,000)",Age,Epi Class,CA - 18-44 years,32.32
2013,"Case rates (cases per 100,000)",Age,Epi Class,CA - 18-44 years,34.99
2014,"Case rates (cases per 100,000)",Age,Epi Class,CA - 18-44 years,35.96
2015,"Case rates (cases per 100,000)",Age,Epi Class,CA - 18-44 years,42.88
2016,"Case rates (cases per 100,000)",Age,Epi Class,CA - 18-44 years,43.03
2017,"Case rates (cases per 100,000)",Age,Epi Class,CA - 18-44 years,38.44
2011,"Case rates (cases per 100,000)",Age,Epi Class,CA - 45-64 years,60.18
2012,"Case rates (cases per 100,000)",Age,Epi Class,CA - 45-64 years,66.94
2013,"Case rates (cases per 100,000)",Age,Epi Class,CA - 45-64 years,67.84
2014,"Case rates (cases per 100,000)",Age,Epi Class,CA - 45-64 years,68.09
2015,"Case rates (cases per 100,000)",Age,Epi Class,CA - 45-64 years,78.72
2016,"Case rates (cases per 100,000)",Age,Epi Class,CA - 45-64 years,83.06
2017,"Case rates (cases per 100,000)",Age,Epi Class,CA - 45-64 years,74.93
2011,"Case rates (cases per 100,000)",Age,Epi Class,HA - 65+ years,548.15
2012,"Case rates (cases per 100,000)",Age,Epi Class,HA - 65+ years,505.9
2013,"Case rates (cases per 100,000)",Age,Epi Class,HA - 65+ years,438.88
2014,"Case rates (cases per 100,000)",Age,Epi Class,HA - 65+ years,396.95
2015,"Case rates (cases per 100,000)",Age,Epi Class,HA - 65+ years,378.1
2016,"Case rates (cases per 100,000)",Age,Epi Class,HA - 65+ years,321.87
2017,"Case rates (cases per 100,000)",Age,Epi Class,HA - 65+ years,277.48
2011,"Case rates (cases per 100,000)",Age,Epi Class,HA - 1-17 years,6.13
2012,"Case rates (cases per 100,000)",Age,Epi Class,HA - 1-17 years,7.46
