YearName,Topic,Viewby,Series,Value
2009,Drug resistance,Candida albicans,Echinocandin,0.01
2009,Drug resistance,Candida albicans,Fluconazole,0.003
2009,Drug resistance,Candida albicans,Multi-drug,0
2009,Drug resistance,Candida albicans,Voriconazole,0.003
2009,Drug resistance,Candida glabrata,Echinocandin,0.027
2009,Drug resistance,Candida glabrata,Fluconazole,0.123
2009,Drug resistance,Candida glabrata,Multi-drug,0.014
2009,Drug resistance,Candida krusei,Echinocandin,0
2009,Drug resistance,Candida krusei,Multi-drug,0
2009,Drug resistance,Candida krusei,Voriconazole,0
2009,Drug resistance,Candida parapsilosis,Echinocandin,0
2009,Drug resistance,Candida parapsilosis,Fluconazole,0.052
2009,Drug resistance,Candida parapsilosis,Multi-drug,0
2009,Drug resistance,Candida parapsilosis,Voriconazole,0.007
2009,Drug resistance,Candida tropicalis,Echinocandin,0.013
2009,Drug resistance,Candida tropicalis,Fluconazole,0.052
2009,Drug resistance,Candida tropicalis,Multi-drug,0
2009,Drug resistance,Candida tropicalis,Voriconazole,0.026
2009,Drug resistance,Georgia,Echinocandin,0.015
2009,Drug resistance,Georgia,Fluconazole,0.089
2009,Drug resistance,Georgia,Multi-drug,0.005
2009,Drug resistance,Georgia,Voriconazole,0.005
2009,Drug resistance,Maryland,Echinocandin,0.011
2009,Drug resistance,Maryland,Fluconazole,0.045
2009,Drug resistance,Maryland,Multi-drug,0.003
2009,Drug resistance,Maryland,Voriconazole,0.006
2009,Incidence,Age,< 1 year,57.6
2009,Incidence,Age,> 65 years,66.9
2009,Incidence,Age,1-18 years,2
2009,Incidence,Age,19-44 years,9.1
2009,Incidence,Age,45-64 years,26.9
2009,Incidence,Age,All cases,18
2009,Incidence,All cases,All cases,18
2009,Incidence,Area,All cases,18
2009,Incidence,Area,Georgia,14.6
2009,Incidence,Area,Maryland,26.7
2009,Incidence,Race,All cases,18
2009,Incidence,Race,Black,26.1
2009,Incidence,Race,Non-black,11
2009,Incidence,Sex,All cases,18
2009,Incidence,Sex,Female,17
2009,Incidence,Sex,Male,19.1
2009,Mortality,48-hour mortality,All cases,0.8
2009,Mortality,48-hour mortality,Georgia,0.5
2009,Mortality,48-hour mortality,Maryland,1.5
2009,Mortality,At hospital discharge,All cases,3.9
2009,Mortality,At hospital discharge,Georgia,3.4
2009,Mortality,At hospital discharge,Maryland,4.9
2009,Species,Area: All,C. albicans,0.364
2009,Species,Area: All,C. glabrata,0.267
2009,Species,Area: All,C. krusei,0.012
2009,Species,Area: All,C. lusitaniae,0.018
2009,Species,Area: All,C. parapsilosis,0.171
2009,Species,Area: All,C. tropicalis,0.103
2009,Species,Area: All,"Candida, multiple species",0.043
2009,Species,Area: All,"Candida, other species",0.023
2009,Species,Area: Georgia,C. albicans,0.398
2009,Species,Area: Georgia,C. glabrata,0.24
2009,Species,Area: Georgia,C. krusei,0.015
2009,Species,Area: Georgia,C. lusitaniae,0.021
