Vaccine,Geography Type,Geography,Season,Personnel Type,Estimate (%),95% CI (%),Sample Size
Seasonal Influenza,States,Alabama,2013-14,All Health Care Personnel,72.2,,117874
Seasonal Influenza,States,Alaska,2013-14,All Health Care Personnel,72.8,,13796
Seasonal Influenza,States,Arizona,2013-14,All Health Care Personnel,76.8,,134171
Seasonal Influenza,States,Arkansas,2013-14,All Health Care Personnel,82.4,,78401
Seasonal Influenza,States,California,2013-14,All Health Care Personnel,79.3,,826671
Seasonal Influenza,States,Colorado,2013-14,All Health Care Personnel,94.9,,122917
Seasonal Influenza,States,Connecticut,2013-14,All Health Care Personnel,85.6,,104689
Seasonal Influenza,States,Delaware,2013-14,All Health Care Personnel,92.1,,28643
Seasonal Influenza,States,District of Columbia,2013-14,All Health Care Personnel,95.5,,34917
Seasonal Influenza,States,Florida,2013-14,All Health Care Personnel,64.4,,454912
Seasonal Influenza,States,Georgia,2013-14,All Health Care Personnel,86.2,,203113
Seasonal Influenza,States,Hawaii,2013-14,All Health Care Personnel,66.6,,25963
Seasonal Influenza,States,Idaho,2013-14,All Health Care Personnel,78.8,,30910
Seasonal Influenza,States,Illinois,2013-14,All Health Care Personnel,83.3,,348153
Seasonal Influenza,States,Indiana,2013-14,All Health Care Personnel,87.5,,193924
Seasonal Influenza,States,Iowa,2013-14,All Health Care Personnel,91.2,,97212
Seasonal Influenza,States,Kansas,2013-14,All Health Care Personnel,88.7,,73957
Seasonal Influenza,States,Kentucky,2013-14,All Health Care Personnel,75.2,,115348
Seasonal Influenza,States,Louisiana,2013-14,All Health Care Personnel,71.2,,133614
Seasonal Influenza,States,Maine,2013-14,All Health Care Personnel,85.8,,39038
Seasonal Influenza,States,Maryland,2013-14,All Health Care Personnel,96.4,,132775
Seasonal Influenza,States,Massachusetts,2013-14,All Health Care Personnel,86.1,,243507
Seasonal Influenza,States,Michigan,2013-14,All Health Care Personnel,81.5,,280625
Seasonal Influenza,States,Minnesota,2013-14,All Health Care Personnel,75.3,,142962
Seasonal Influenza,States,Mississippi,2013-14,All Health Care Personnel,73.6,,73547
Seasonal Influenza,States,Missouri,2013-14,All Health Care Personnel,88.4,,182619
Seasonal Influenza,States,Montana,2013-14,All Health Care Personnel,83.8,,23312
Seasonal Influenza,States,Nebraska,2013-14,All Health Care Personnel,91.5,,53557
Seasonal Influenza,States,Nevada,2013-14,All Health Care Personnel,75.8,,46605
Seasonal Influenza,States,New Hampshire,2013-14,All Health Care Personnel,93.1,,36091
Seasonal Influenza,States,New Jersey,2013-14,All Health Care Personnel,62.4,,213566
Seasonal Influenza,States,New Mexico,2013-14,All Health Care Personnel,76.4,,44245
Seasonal Influenza,States,New York,2013-14,All Health Care Personnel,83.3,,572906
Seasonal Influenza,States,North Carolina,2013-14,All Health Care Personnel,92.4,,235656
Seasonal Influenza,States,North Dakota,2013-14,All Health Care Personnel,90.2,,21168
Seasonal Influenza,States,Ohio,2013-14,All Health Care Personnel,82,,366299
Seasonal Influenza,States,Oklahoma,2013-14,All Health Care Personnel,83.6,,92599
Seasonal Influenza,States,Oregon,2013-14,All Health Care Personnel,76.7,,90987
Seasonal Influenza,States,Pennsylvania,2013-14,All Health Care Personnel,82.1,,439021
Seasonal Influenza,National,United States,2013-14,All Health Care Personnel,81.8,,8006643
Seasonal Influenza,States,Rhode Island,2013-14,All Health Care Personnel,90.4,,34125
Seasonal Influenza,States,South Carolina,2013-14,All Health Care Personnel,82.1,,121741
Seasonal Influenza,States,South Dakota,2013-14,All Health Care Personnel,93.5,,28451
Seasonal Influenza,States,Tennessee,2013-14,All Health Care Personnel,81.9,,173582
Seasonal Influenza,States,Texas,2013-14,All Health Care Personnel,83.4,,526240
Seasonal Influenza,States,Utah,2013-14,All Health Care Personnel,94,,59018
Seasonal Influenza,States,Vermont,2013-14,All Health Care Personnel,74.7,,16956
Seasonal Influenza,States,Virginia,2013-14,All Health Care Personnel,85.5,,162762
Seasonal Influenza,States,Washington,2013-14,All Health Care Personnel,87.6,,152747
Seasonal Influenza,States,West Virginia,2013-14,All Health Care Personnel,77.6,,61370
Seasonal Influenza,States,Wisconsin,2013-14,All Health Care Personnel,90.7,,187004
Seasonal Influenza,States,Wyoming,2013-14,All Health Care Personnel,82.5,,12377
Seasonal Influenza,States,Alabama,2014-15,All Health Care Personnel,77.6,,116878
Seasonal Influenza,States,Alaska,2014-15,All Health Care Personnel,70.6,,16304
Seasonal Influenza,States,Arizona,2014-15,All Health Care Personnel,82.8,,141623
Seasonal Influenza,States,Arkansas,2014-15,All Health Care Personnel,83.6,,78402
Seasonal Influenza,States,California,2014-15,All Health Care Personnel,82.1,,808945
Seasonal Influenza,States,Colorado,2014-15,All Health Care Personnel,97.1,,144521
Seasonal Influenza,States,Connecticut,2014-15,All Health Care Personnel,86.1,,102524
Seasonal Influenza,States,Delaware,2014-15,All Health Care Personnel,90.1,,29559
Seasonal Influenza,States,District of Columbia,2014-15,All Health Care Personnel,94,,33769
Seasonal Influenza,States,Florida,2014-15,All Health Care Personnel,71.4,,490726
Seasonal Influenza,States,Georgia,2014-15,All Health Care Personnel,86.3,,223653
Seasonal Influenza,States,Hawaii,2014-15,All Health Care Personnel,73.9,,27902
Seasonal Influenza,States,Idaho,2014-15,All Health Care Personnel,86.9,,32788
Seasonal Influenza,States,Illinois,2014-15,All Health Care Personnel,84.1,,346741
Seasonal Influenza,States,Indiana,2014-15,All Health Care Personnel,87.4,,189520
Seasonal Influenza,States,Iowa,2014-15,All Health Care Personnel,92.2,,99855
Seasonal Influenza,States,Kansas,2014-15,All Health Care Personnel,93.1,,73422
Seasonal Influenza,States,Kentucky,2014-15,All Health Care Personnel,78.9,,112751
Seasonal Influenza,States,Louisiana,2014-15,All Health Care Personnel,77.7,,134265
Seasonal Influenza,States,Maine,2014-15,All Health Care Personnel,85.3,,40853
Seasonal Influenza,States,Maryland,2014-15,All Health Care Personnel,96.9,,154962
Seasonal Influenza,States,Massachusetts,2014-15,All Health Care Personnel,89.1,,249525
Seasonal Influenza,States,Michigan,2014-15,All Health Care Personnel,83.6,,286149
Seasonal Influenza,States,Minnesota,2014-15,All Health Care Personnel,78,,139564
Seasonal Influenza,States,Mississippi,2014-15,All Health Care Personnel,82.2,,74255
Seasonal Influenza,States,Missouri,2014-15,All Health Care Personnel,91.6,,188272
Seasonal Influenza,States,Montana,2014-15,All Health Care Personnel,84.2,,23724
Seasonal Influenza,States,Nebraska,2014-15,All Health Care Personnel,91.5,,53712
Seasonal Influenza,States,Nevada,2014-15,All Health Care Personnel,71.5,,54373
Seasonal Influenza,States,New Hampshire,2014-15,All Health Care Personnel,94.1,,41487
Seasonal Influenza,States,New Jersey,2014-15,All Health Care Personnel,68.7,,207639
Seasonal Influenza,States,New Mexico,2014-15,All Health Care Personnel,81.5,,44938
Seasonal Influenza,States,New York,2014-15,All Health Care Personnel,83.9,,554651
Seasonal Influenza,States,North Carolina,2014-15,All Health Care Personnel,94.3,,236108
Seasonal Influenza,States,North Dakota,2014-15,All Health Care Personnel,89.6,,23851
Seasonal Influenza,States,Ohio,2014-15,All Health Care Personnel,85,,360577
Seasonal Influenza,States,Oklahoma,2014-15,All Health Care Personnel,88.4,,95254
Seasonal Influenza,States,Oregon,2014-15,All Health Care Personnel,78.9,,90082
Seasonal Influenza,States,Pennsylvania,2014-15,All Health Care Personnel,87,,402309
Seasonal Influenza,National,United States,2014-15,All Health Care Personnel,84.5,,8078194
Seasonal Influenza,States,Rhode Island,2014-15,All Health Care Personnel,91.8,,34102
Seasonal Influenza,States,South Carolina,2014-15,All Health Care Personnel,84.4,,119171
Seasonal Influenza,States,South Dakota,2014-15,All Health Care Personnel,94.3,,27426
Seasonal Influenza,States,Tennessee,2014-15,All Health Care Personnel,84.8,,175518
Seasonal Influenza,States,Texas,2014-15,All Health Care Personnel,85.7,,518343
Seasonal Influenza,States,Utah,2014-15,All Health Care Personnel,94.2,,66808
Seasonal Influenza,States,Vermont,2014-15,All Health Care Personnel,74.9,,17154
Seasonal Influenza,States,Virginia,2014-15,All Health Care Personnel,87.3,,165630
Seasonal Influenza,States,Washington,2014-15,All Health Care Personnel,87.1,,162789
Seasonal Influenza,States,West Virginia,2014-15,All Health Care Personnel,80.4,,61634
Seasonal Influenza,States,Wisconsin,2014-15,All Health Care Personnel,93.8,,190231
Seasonal Influenza,States,Wyoming,2014-15,All Health Care Personnel,85,,12955
Seasonal Influenza,States,Alabama,2015-16,All Health Care Personnel,77.4,,114751
Seasonal Influenza,States,Alaska,2015-16,All Health Care Personnel,62.5,,16541
Seasonal Influenza,States,Arizona,2015-16,All Health Care Personnel,86.9,,141354
Seasonal Influenza,States,Arkansas,2015-16,All Health Care Personnel,85.2,,80017
Seasonal Influenza,States,California,2015-16,All Health Care Personnel,82.6,,839081
Seasonal Influenza,States,Colorado,2015-16,All Health Care Personnel,97.3,,133037
Seasonal Influenza,States,Connecticut,2015-16,All Health Care Personnel,88,,94549
Seasonal Influenza,States,Delaware,2015-16,All Health Care Personnel,92,,31587
Seasonal Influenza,States,District of Columbia,2015-16,All Health Care Personnel,95.5,,33140
Seasonal Influenza,States,Florida,2015-16,All Health Care Personnel,77.1,,483356
Seasonal Influenza,States,Georgia,2015-16,All Health Care Personnel,88.1,,215133
Seasonal Influenza,States,Hawaii,2015-16,All Health Care Personnel,77.4,,27780
Seasonal Influenza,States,Idaho,2015-16,All Health Care Personnel,89.8,,40685
Seasonal Influenza,States,Illinois,2015-16,All Health Care Personnel,86.6,,353759
Seasonal Influenza,States,Indiana,2015-16,All Health Care Personnel,89.3,,198893
Seasonal Influenza,States,Iowa,2015-16,All Health Care Personnel,91.8,,109314
Seasonal Influenza,States,Kansas,2015-16,All Health Care Personnel,94.6,,77599
Seasonal Influenza,States,Kentucky,2015-16,All Health Care Personnel,84.8,,124051
Seasonal Influenza,States,Louisiana,2015-16,All Health Care Personnel,82.5,,132394
Seasonal Influenza,States,Maine,2015-16,All Health Care Personnel,84.3,,44054
Seasonal Influenza,States,Maryland,2015-16,All Health Care Personnel,96.4,,135703
Seasonal Influenza,States,Massachusetts,2015-16,All Health Care Personnel,90.7,,255534
Seasonal Influenza,States,Michigan,2015-16,All Health Care Personnel,88.4,,294968
Seasonal Influenza,States,Minnesota,2015-16,All Health Care Personnel,79.4,,163335
Seasonal Influenza,States,Mississippi,2015-16,All Health Care Personnel,81.1,,82503
Seasonal Influenza,States,Missouri,2015-16,All Health Care Personnel,91.3,,201749
Seasonal Influenza,States,Montana,2015-16,All Health Care Personnel,83.2,,29362
Seasonal Influenza,States,Nebraska,2015-16,All Health Care Personnel,93,,57913
Seasonal Influenza,States,Nevada,2015-16,All Health Care Personnel,77.5,,50806
Seasonal Influenza,States,New Hampshire,2015-16,All Health Care Personnel,93.8,,43777
Seasonal Influenza,States,New Jersey,2015-16,All Health Care Personnel,81.3,,209737
Seasonal Influenza,States,New Mexico,2015-16,All Health Care Personnel,84.5,,46017
Seasonal Influenza,States,New York,2015-16,All Health Care Personnel,83.3,,587234
Seasonal Influenza,States,North Carolina,2015-16,All Health Care Personnel,95.1,,246464
Seasonal Influenza,States,North Dakota,2015-16,All Health Care Personnel,90.1,,32093
Seasonal Influenza,States,Ohio,2015-16,All Health Care Personnel,83.1,,385888
Seasonal Influenza,States,Oklahoma,2015-16,All Health Care Personnel,88.7,,94746
Seasonal Influenza,States,Oregon,2015-16,All Health Care Personnel,78.4,,92826
Seasonal Influenza,States,Pennsylvania,2015-16,All Health Care Personnel,90.3,,389508
Seasonal Influenza,National,United States,2015-16,All Health Care Personnel,86.4,,8308551
Seasonal Influenza,States,Rhode Island,2015-16,All Health Care Personnel,92.5,,35426
Seasonal Influenza,States,South Carolina,2015-16,All Health Care Personnel,88.8,,120914
Seasonal Influenza,States,South Dakota,2015-16,All Health Care Personnel,94.8,,32898
Seasonal Influenza,States,Tennessee,2015-16,All Health Care Personnel,87.8,,189286
Seasonal Influenza,States,Texas,2015-16,All Health Care Personnel,86.8,,537120
Seasonal Influenza,States,Utah,2015-16,All Health Care Personnel,96.2,,67085
Seasonal Influenza,States,Vermont,2015-16,All Health Care Personnel,77,,20647
Seasonal Influenza,States,Virginia,2015-16,All Health Care Personnel,86.4,,165678
Seasonal Influenza,States,Washington,2015-16,All Health Care Personnel,88.9,,174830
Seasonal Influenza,States,West Virginia,2015-16,All Health Care Personnel,86.5,,65064
Seasonal Influenza,States,Wisconsin,2015-16,All Health Care Personnel,94.4,,194382
Seasonal Influenza,States,Wyoming,2015-16,All Health Care Personnel,88.5,,13983
Seasonal Influenza,States,Alabama,2016-17,All Health Care Personnel,80.2,,124944
Seasonal Influenza,States,Alaska,2016-17,All Health Care Personnel,75.2,,19315
Seasonal Influenza,States,Arizona,2016-17,All Health Care Personnel,88.9,,147947
Seasonal Influenza,States,Arkansas,2016-17,All Health Care Personnel,84.6,,85999
Seasonal Influenza,States,California,2016-17,All Health Care Personnel,83.9,,857286
